Source Name,API Documentation,Access Type,Authentication,Category,Cost,Data Type,Integration Priority,NJOOBA Content Feed,Notes,Rate Limits,Region,Website,n8n Workflow
Esoko,,Partnership,Partnership Required,AgriTech,Partnership-based pricing,"API, Real-time",Phase 2 - Jan,"News Feed, Research","Real-time farm prices, yield data, farmer surveys. Need to partner directly for API/data licensing.",,West Africa,https://esoko.com,
Hello Tractor,,API Integration,API Key,AgriTech,Enterprise API pricing,"API, Real-time",Phase 3 - Feb+,"News Feed, Research","Tractor usage, field size, crop type data. Enterprise API available.",,Pan-Africa,https://hellotractor.com,
TradeMap (ITC),,Freemium,API Key,Market Intelligence,Free tier + paid premium,"API, Historical",Phase 2 - Jan,"News Feed, Research","Import/export flows for 5,000+ agricultural products. Free tier available.",,"Global, Pan-Africa",https://trademap.org,
FAO WaPOR,https://wapor.apps.fao.org/api,Free,No Auth,AgriTech,Free,"API, Historical, Satellite",Phase 1 - Dec 15,"Research, Tutorials","FREE satellite data on water use, crop health, evapotranspiration. GIS maps available.",,Pan-Africa,https://wapor.apps.fao.org,
Apollo Agriculture,,Partnership,Partnership Required,AgriTech,Enterprise partnership,"Real-time, Satellite",Phase 3 - Feb+,Research,Verified smallholder farm productivity data (satellite + field agents). Strategic partnership required.,,East Africa,https://apolloagriculture.com,
AGRA Reports,,Free,No Auth,Research,Free,"Historical, Reports",Phase 1 - Dec 15,"Research, Tutorials","Annual Africa Agriculture Status Reports - input access, post-harvest loss data. Free PDFs.",,Pan-Africa,https://agra.org/publications,
AfriqScan (Sahel Capital),,Partnership,Partnership Required,Market Intelligence,Partnership pricing,"Real-time, Reports",Phase 3 - Feb+,"News Feed, Research","Shea, Cashew, Sesame value chain pricing & volumes. Partner with Sahel Capital.",,West Africa,https://sahelcapital.com,
Disrupt Africa,,Freemium,API Key,SaaS/Startups,"Free news, premium reports paid","News, Reports",Phase 1 - Dec 15,News Feed,Funding news + annual State of Tech in Africa reports. Free news + premium reports.,,Pan-Africa,https://disrupt-africa.com,
CGIAR Open Data,https://data.cgiar.org/api,Free,No Auth,Research,Free,"API, Historical",Phase 1 - Dec 15,"Research, Tutorials","Crop yields, climate resilience, smallholder economics. Free & open datasets.",,"Global, Pan-Africa",https://data.cgiar.org,
VC4A,,Partnership,Partnership Required,SaaS/Startups,Data partnership,"API, Historical",Phase 2 - Jan,"Job Listings, News Feed","10,000+ African startup profiles, funding, traction metrics. Request data partnership for AI training.",,Pan-Africa,https://vc4a.com,
Mono,https://docs.mono.co,API Integration,API Key,FinTech,API usage pricing,"API, Financial, Real-time",Phase 2 - Jan,News Feed,"Business bank cash flow, transaction history. Already in your stack.",,West Africa,https://mono.co,
Okra,https://docs.okra.ng,API Integration,API Key,FinTech,API usage pricing,"API, Financial, Real-time",Phase 2 - Jan,News Feed,"Business bank cash flow, transaction history. Alternative to Mono.",,West Africa,https://okra.ng,
Stripe Billing,https://stripe.com/docs/api,API Integration,OAuth,FinTech,Standard Stripe fees,"Financial, Real-time",Future,Research,Real MRR verification (with founder consent). OAuth integration in SOLA app.,,Global,https://stripe.com,
AfriLabs,,Partnership,Partnership Required,Ecosystem,Partnership-based,"Historical, Reports",Phase 2 - Jan,"News Feed, Research",Performance data from 400+ innovation hubs. Network partnership opportunity.,,Pan-Africa,https://afrilabs.com,
Briter Bridges,,Paid,API Key,SaaS/Startups,Premium subscription,"Historical, Reports",Phase 3 - Feb+,Research,Deep-dive reports on SaaS Unit Economics in Africa. Gold standard for LPs. Paid but high-quality.,,Pan-Africa,https://briterbridges.com,
TechCabal,https://techcabal.com/rss,Free,No Auth,SaaS/Startups,Free,"News, Real-time",Phase 1 - Dec 15,News Feed,NEW - Leading African tech news. RSS feed available for easy n8n integration.,,Pan-Africa,https://techcabal.com,
Ventures Platform,,Partnership,Partnership Required,Ecosystem,Partnership,Reports,Phase 3 - Feb+,News Feed,Nigeria-focused accelerator. Portfolio performance data.,,West Africa,https://venturesplatform.com,
Antler East Africa,,Partnership,Partnership Required,Ecosystem,Partnership,Reports,Phase 3 - Feb+,"Job Listings, News Feed","Portfolio growth benchmarks, revenue metrics. Build partnerships for anonymized data.",,East Africa,https://antler.co,
Benjamin Dada (Newsletter),,Free,No Auth,SaaS/Startups,Free,News,Phase 1 - Dec 15,News Feed,NEW - Weekly African tech insights. High-quality curation.,,Pan-Africa,https://benjamindada.com,
Flat6Labs,,Partnership,Partnership Required,Ecosystem,Partnership,Reports,Phase 3 - Feb+,News Feed,Egypt-based accelerator. MENA startup ecosystem data.,,North Africa,https://flat6labs.com,
Villgro Africa,,Partnership,Partnership Required,HealthTech,Partnership,Reports,Phase 3 - Feb+,Research,NEW - Healthcare innovation incubator. Portfolio health impact data.,,"East Africa, Southern Africa",https://villgroafrica.com,
Africa HealthTech Summit,,Free,No Auth,HealthTech,Free,"News, Reports",Phase 2 - Jan,"News Feed, Research","NEW - HealthTech news, reports, and ecosystem insights. Annual summit data.",,Pan-Africa,https://africahealthtech.com,
freeCodeCamp (African content),https://github.com/freeCodeCamp,Free,No Auth,EdTech,Free,API,Phase 1 - Dec 15,Tutorials,NEW - Free coding tutorials. Filter for African contributors/content.,,Global,https://freecodecamp.org,
Andela,,Partnership,Partnership Required,EdTech,Partnership,News,Phase 2 - Jan,"Job Listings, Tutorials",NEW - Developer training + job placement. Skills trend data.,,Pan-Africa,https://andela.com,
Dev.to (African tag),https://developers.forem.com/api,Free,API Key,Developer Tools,Free,"API, Real-time",Phase 1 - Dec 15,"News Feed, Tutorials",NEW - Dev community articles. Filter by #africa tag. Easy API integration.,,Global,https://dev.to,
GitHub - Made in Africa,https://docs.github.com/en/rest,Free,API Key,Developer Tools,Free,"API, Real-time",Phase 1 - Dec 15,"News Feed, Tutorials",NEW - Curate repos from African developers. Use location + topic filters.,,Pan-Africa,https://github.com,
Medium - African Tech Publications,https://github.com/Medium/medium-api-docs,Free,API Key,Developer Tools,Free,API,Phase 1 - Dec 15,"News Feed, Tutorials","NEW - Follow African tech publications: @AfricanTechRoundup, etc.",,Pan-Africa,https://medium.com,
Hashnode (African writers),https://api.hashnode.com,Free,API Key,Developer Tools,Free,"API, Real-time",Phase 1 - Dec 15,"News Feed, Tutorials",NEW - Dev blogging platform. GraphQL API. Filter African authors.,,Global,https://hashnode.com,
MyJobMag Tech Jobs,,Free,No Auth,SaaS/Startups,Free,Real-time,Phase 2 - Jan,Job Listings,NEW - Nigeria's largest job site. Filter tech/dev positions.,,West Africa,https://myjobmag.com,
Pula Advisors Jobs,,Free,No Auth,SaaS/Startups,Free,Real-time,Phase 1 - Dec 15,Job Listings,NEW - African tech job board. Can scrape or request RSS feed.,,Pan-Africa,https://pulaafrica.com/jobs,
Y Combinator Africa,,Free,No Auth,Ecosystem,Free ($500k investment),"News, Reports",Phase 1 - Dec 15,"News Feed, Research",FUNDING - $500k for 7% equity. African batch growing. Startup School free online.,,Pan-Africa,https://ycombinator.com,
AWS Activate,https://aws.amazon.com/activate/portfolio-signup,Free,API Key,Developer Tools,Free credits up to $100k,API,Phase 1 - Dec 15,"News Feed, Tutorials",CLOUD CREDITS - Up to $100k AWS credits for startups. Accelerator/VC-backed companies get higher tiers.,,Global,https://aws.amazon.com/activate,
